row_id,datetime,energy
1,2008-03-01 00:00:00,1259.9855625
2,2008-03-01 01:00:00,1095.5415
3,2008-03-01 02:00:00,1056.2475
4,2008-03-01 03:00:00,1034.742
5,2008-03-01 04:00:00,1026.3345
6,2008-03-01 05:00:00,1033.7685
7,2008-03-01 06:00:00,1086.78
8,2008-03-01 07:00:00,1211.742
9,2008-03-01 08:00:00,1293.693
10,2008-03-01 09:00:00,1318.9154999999998
11,2008-03-01 10:00:00,1337.943
12,2008-03-01 11:00:00,1348.917
13,2008-03-01 12:00:00,1360.6875
14,2008-03-01 13:00:00,1363.254
15,2008-03-01 14:00:00,1385.4675
16,2008-03-01 15:00:00,1392.9015
17,2008-03-01 16:00:00,1392.9015
18,2008-03-01 17:00:00,1384.494
19,2008-03-01 18:00:00,1358.7405
20,2008-03-01 19:00:00,1330.509
21,2008-03-01 20:00:00,1346.1735
22,2008-03-01 21:00:00,1358.3864999999998
23,2008-03-01 22:00:00,1313.0745
24,2008-03-01 23:00:00,1244.9295
25,2008-03-02 00:00:00,1163.5095
26,2008-03-02 01:00:00,1085.01
27,2008-03-02 02:00:00,1032.972
28,2008-03-02 03:00:00,1004.652
29,2008-03-02 04:00:00,989.1645
30,2008-03-02 05:00:00,986.067
31,2008-03-02 06:00:00,1002.7935
32,2008-03-02 07:00:00,1050.1409999999998
33,2008-03-02 08:00:00,1096.2495
34,2008-03-02 09:00:00,1163.244
35,2008-03-02 10:00:00,1213.512
36,2008-03-02 11:00:00,1246.2569999999998
37,2008-03-02 12:00:00,1246.08
38,2008-03-02 13:00:00,1243.956
39,2008-03-02 14:00:00,1233.159
40,2008-03-02 15:00:00,1217.583
41,2008-03-02 16:00:00,1201.7415
42,2008-03-02 17:00:00,1205.37
43,2008-03-02 18:00:00,1193.2455
44,2008-03-02 19:00:00,1184.0415
45,2008-03-02 20:00:00,1223.5125
46,2008-03-02 21:00:00,1243.956
47,2008-03-02 22:00:00,1240.3275
48,2008-03-02 23:00:00,1145.1899999999998
49,2008-03-03 00:00:00,1077.222
50,2008-03-03 01:00:00,1012.7055
51,2008-03-03 02:00:00,956.4195
52,2008-03-03 03:00:00,938.1
53,2008-03-03 04:00:00,923.763
54,2008-03-03 05:00:00,923.055
55,2008-03-03 06:00:00,930.0465
56,2008-03-03 07:00:00,955.3575
57,2008-03-03 08:00:00,998.988
58,2008-03-03 09:00:00,1058.9025
59,2008-03-03 10:00:00,1105.6305
60,2008-03-03 11:00:00,1125.897
61,2008-03-03 12:00:00,1142.358
62,2008-03-03 13:00:00,1150.2345
63,2008-03-03 14:00:00,1143.774
64,2008-03-03 15:00:00,1129.1715
65,2008-03-03 16:00:00,1115.5425
66,2008-03-03 17:00:00,1128.8175
67,2008-03-03 18:00:00,1132.3574999999998
68,2008-03-03 19:00:00,1148.6415
69,2008-03-03 20:00:00,1222.9815
70,2008-03-03 21:00:00,1259.9745
71,2008-03-03 22:00:00,1228.203
72,2008-03-03 23:00:00,1162.182
73,2008-03-04 00:00:00,1093.0635
74,2008-03-04 01:00:00,1045.8045
75,2008-03-04 02:00:00,1009.608
76,2008-03-04 03:00:00,996.5985
77,2008-03-04 04:00:00,995.3595
78,2008-03-04 05:00:00,1010.139
79,2008-03-04 06:00:00,1087.0455
80,2008-03-04 07:00:00,1226.787
81,2008-03-04 08:00:00,1315.464
82,2008-03-04 09:00:00,1331.571
83,2008-03-04 10:00:00,1352.457
84,2008-03-04 11:00:00,1372.7234999999998
85,2008-03-04 12:00:00,1382.4585
86,2008-03-04 13:00:00,1386.087
87,2008-03-04 14:00:00,1398.5655
88,2008-03-04 15:00:00,1393.6095
89,2008-03-04 16:00:00,1388.4765
90,2008-03-04 17:00:00,1382.1045
91,2008-03-04 18:00:00,1366.5285
92,2008-03-04 19:00:00,1360.068
93,2008-03-04 20:00:00,
94,2008-03-04 21:00:00,1427.7705
95,2008-03-04 22:00:00,1379.0955
96,2008-03-04 23:00:00,1282.9845
97,2008-03-05 00:00:00,1186.3425
98,2008-03-05 01:00:00,1109.082
99,2008-03-05 02:00:00,1073.1509999999998
100,2008-03-05 03:00:00,1055.451
101,2008-03-05 04:00:00,1054.389
102,2008-03-05 05:00:00,1062.885
103,2008-03-05 06:00:00,1130.145
104,2008-03-05 07:00:00,1273.7804999999998
105,2008-03-05 08:00:00,1366.794
106,2008-03-05 09:00:00,1375.9095
107,2008-03-05 10:00:00,1373.4315
108,2008-03-05 11:00:00,1375.467
109,2008-03-05 12:00:00,1369.98
110,2008-03-05 13:00:00,1364.9354999999998
111,2008-03-05 14:00:00,1367.3249999999998
112,2008-03-05 15:00:00,1350.4215
113,2008-03-05 16:00:00,1336.9695
114,2008-03-05 17:00:00,1336.4385
115,2008-03-05 18:00:00,1326.0839999999998
116,2008-03-05 19:00:00,1325.376
117,2008-03-05 20:00:00,1384.9365
118,2008-03-05 21:00:00,1416.6195
119,2008-03-05 22:00:00,1369.0065
120,2008-03-05 23:00:00,1285.02
121,2008-03-06 00:00:00,1198.3785
122,2008-03-06 01:00:00,1129.614
